Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%)
JOB_1,2024-01-01 00:00:00,2024-01-01 00:00:00,39.96,3622,2734,9.03,83,IoT,3000,112.97,Low,FCFS,Static,1.65
JOB_2,2024-01-01 00:01:00,2024-01-01 00:01:00,86.06,5690,2868,8.03,64,Social Media,4590,329.2,Low,Priority-Based,Dynamic,2.92
JOB_3,2024-01-01 00:02:00,2024-01-01 00:02:00,68.56,5075,1311,5.69,971,Cloud,3780,542.82,Low,Priority-Based,Static,2.6
JOB_4,2024-01-01 00:03:00,2024-01-01 00:03:00,57.89,7686,875,4.51,757,Social Media,4474,973.94,Medium,Priority-Based,Dynamic,1.33
JOB_5,2024-01-01 00:04:00,2024-01-01 00:04:00,22.48,2297,1260,6.38,581,Enterprise DB,1981,405.38,Low,FCFS,Static,1.99
JOB_6,2024-01-01 00:05:00,2024-01-01 00:05:00,22.48,2631,2483,4.72,33,Cloud,3471,227.84,Low,ASB-Dynamic-CapsNet,Static,2.72
JOB_7,2024-01-01 00:06:00,2024-01-01 00:06:00,14.65,7822,2754,2.84,997,Social Media,2040,175.13,High,FCFS,Static,2.9
JOB_8,2024-01-01 00:07:00,2024-01-01 00:07:00,79.29,7208,3640,6.95,31,Social Media,4915,181.31,Low,Priority-Based,Dynamic,2.66
JOB_9,2024-01-01 00:08:00,2024-01-01 00:08:00,58.09,7262,4797,8.8,437,Cloud,3906,200.67,Low,Priority-Based,Static,4.23
JOB_10,2024-01-01 00:09:00,2024-01-01 00:09:00,66.65,7000,4735,4.04,41,Cloud,1532,764.64,Medium,Priority-Based,Dynamic,0.16
JOB_11,2024-01-01 00:10:00,2024-01-01 00:10:00,11.65,1315,1195,8.49,872,Enterprise DB,2595,70.42,Low,Priority-Based,Dynamic,1.66
JOB_12,2024-01-01 00:11:00,2024-01-01 00:11:00,87.59,3194,123,4.6,348,IoT,4270,997.43,Medium,Round Robin,Static,3.75
JOB_13,2024-01-01 00:12:00,2024-01-01 00:12:00,76.6,942,4819,4.31,956,IoT,4349,527.46,High,Priority-Based,Static,3.26
JOB_14,2024-01-01 00:13:00,2024-01-01 00:13:00,26.99,3640,3656,0.77,990,Cloud,2865,548.83,High,FCFS,Static,4.59
JOB_15,2024-01-01 00:14:00,2024-01-01 00:14:00,24.55,7166,1179,7.11,524,IoT,692,363.99,Medium,Round Robin,Static,2.94
JOB_16,2024-01-01 00:15:00,2024-01-01 00:15:00,24.67,642,4418,8.17,521,Enterprise DB,4735,693.35,Low,ASB-Dynamic-CapsNet,Dynamic,3.19
JOB_17,2024-01-01 00:16:00,2024-01-01 00:16:00,34.34,4787,278,6.8,79,IoT,3968,476.74,Medium,FCFS,Dynamic,3.52
JOB_18,2024-01-01 00:17:00,2024-01-01 00:17:00,51.98,1910,2947,1.94,681,Cloud,1636,335.77,Low,FCFS,Dynamic,0.93
JOB_19,2024-01-01 00:18:00,2024-01-01 00:18:00,44.56,4973,2060,1.48,907,Enterprise DB,2459,272.49,Low,ASB-Dynamic-CapsNet,Static,3.77
JOB_20,2024-01-01 00:19:00,2024-01-01 00:19:00,33.3,7224,1573,5.94,97,Cloud,3899,926.39,Low,FCFS,Static,1.5
JOB_21,2024-01-01 00:20:00,2024-01-01 00:20:00,58.95,1034,4988,4.31,886,Enterprise DB,104,298.08,Medium,Round Robin,Static,2.12
JOB_22,2024-01-01 00:21:00,2024-01-01 00:21:00,21.16,2216,1312,4.58,580,Enterprise DB,891,442.03,High,ASB-Dynamic-CapsNet,Static,0.07
JOB_23,2024-01-01 00:22:00,2024-01-01 00:22:00,33.37,3864,909,9.69,773,Cloud,4637,356.84,Medium,Round Robin,Dynamic,4.22
JOB_24,2024-01-01 00:23:00,2024-01-01 00:23:00,39.31,1532,519,7.38,228,Social Media,1034,95.32,Low,Priority-Based,Dynamic,4.77
JOB_25,2024-01-01 00:24:00,2024-01-01 00:24:00,46.49,3842,3759,4.41,722,Cloud,2670,194.08,Medium,ASB-Dynamic-CapsNet,Dynamic,0.3
JOB_26,2024-01-01 00:25:00,2024-01-01 00:25:00,72.81,1910,3916,0.68,598,Enterprise DB,2956,197.61,High,Round Robin,Static,3.18
JOB_27,2024-01-01 00:26:00,2024-01-01 00:26:00,25.97,6736,1378,0.82,776,Cloud,2044,696.71,Medium,Priority-Based,Static,4.8
JOB_28,2024-01-01 00:27:00,2024-01-01 00:27:00,51.14,6585,2623,7.01,768,Cloud,1982,412.52,High,Round Robin,Static,3.03
JOB_29,2024-01-01 00:28:00,2024-01-01 00:28:00,57.39,7172,1540,8.46,279,Enterprise DB,2322,784.15,High,Round Robin,Static,3.99
JOB_30,2024-01-01 00:29:00,2024-01-01 00:29:00,13.72,5773,1440,7.22,828,IoT,152,711.86,Low,FCFS,Static,0.59
JOB_31,2024-01-01 00:30:00,2024-01-01 00:30:00,58.6,5000,2321,4.36,660,Enterprise DB,1019,200.13,High,Priority-Based,Dynamic,1.22
JOB_32,2024-01-01 00:31:00,2024-01-01 00:31:00,23.64,7483,2492,0.8,87,Cloud,1121,567.29,Medium,FCFS,Static,1.73
JOB_33,2024-01-01 00:32:00,2024-01-01 00:32:00,15.2,1672,1461,9.69,601,Enterprise DB,786,745.48,Medium,Priority-Based,Dynamic,4.91
JOB_34,2024-01-01 00:33:00,2024-01-01 00:33:00,85.91,1388,691,9.87,19,Enterprise DB,1415,636.71,Low,Priority-Based,Static,3.91
JOB_35,2024-01-01 00:34:00,2024-01-01 00:34:00,87.25,3838,626,5.72,477,IoT,3680,604.02,Medium,FCFS,Dynamic,4.43
JOB_36,2024-01-01 00:35:00,2024-01-01 00:35:00,74.67,5017,2603,1.17,345,Social Media,277,742.21,Low,FCFS,Static,2.44
JOB_37,2024-01-01 00:36:00,2024-01-01 00:36:00,34.37,2141,1392,5.64,645,Cloud,3620,66.21,Medium,FCFS,Static,3.58
JOB_38,2024-01-01 00:37:00,2024-01-01 00:37:00,17.81,971,1754,8.98,195,Cloud,494,734.11,Medium,Priority-Based,Dynamic,3.66
JOB_39,2024-01-01 00:38:00,2024-01-01 00:38:00,64.74,3440,287,6.96,555,IoT,1669,279.93,High,Priority-Based,Static,2.84
JOB_40,2024-01-01 00:39:00,2024-01-01 00:39:00,45.21,1046,2858,7.34,130,Enterprise DB,4743,576.15,High,Priority-Based,Static,4.39
JOB_41,2024-01-01 00:40:00,2024-01-01 00:40:00,19.76,5226,628,1.31,601,Social Media,2254,249.88,High,Priority-Based,Static,0.79
JOB_42,2024-01-01 00:41:00,2024-01-01 00:41:00,49.61,4097,533,1.51,727,Cloud,2753,840.43,Medium,Priority-Based,Dynamic,0.29
JOB_43,2024-01-01 00:42:00,2024-01-01 00:42:00,12.75,5633,3612,1.71,574,Social Media,3100,485.75,Low,Priority-Based,Static,1.52
JOB_44,2024-01-01 00:43:00,2024-01-01 00:43:00,82.75,3325,1904,9.09,677,Social Media,3552,646.51,Low,Round Robin,Static,0.44
JOB_45,2024-01-01 00:44:00,2024-01-01 00:44:00,30.7,4223,402,5.5,283,Enterprise DB,3676,796.14,Low,FCFS,Static,0.3
JOB_46,2024-01-01 00:45:00,2024-01-01 00:45:00,63.0,6425,4282,8.02,419,Enterprise DB,1231,896.36,High,Priority-Based,Static,2.1
JOB_47,2024-01-01 00:46:00,2024-01-01 00:46:00,34.94,863,537,1.6,367,Enterprise DB,3306,734.74,Medium,Round Robin,Static,1.0
JOB_48,2024-01-01 00:47:00,2024-01-01 00:47:00,51.61,2666,2688,9.31,656,Cloud,847,157.28,High,ASB-Dynamic-CapsNet,Dynamic,3.95
JOB_49,2024-01-01 00:48:00,2024-01-01 00:48:00,53.74,3809,932,8.3,950,Social Media,884,855.99,Medium,Round Robin,Dynamic,2.9
JOB_50,2024-01-01 00:49:00,2024-01-01 00:49:00,24.79,1045,896,2.64,107,Social Media,3049,622.39,Medium,FCFS,Dynamic,1.8
JOB_51,2024-01-01 00:50:00,2024-01-01 00:50:00,87.57,3740,659,8.8,250,Cloud,2082,613.36,Medium,ASB-Dynamic-CapsNet,Dynamic,1.43
JOB_52,2024-01-01 00:51:00,2024-01-01 00:51:00,72.01,7165,3688,3.0,566,IoT,4502,922.13,High,Priority-Based,Static,2.82
JOB_53,2024-01-01 00:52:00,2024-01-01 00:52:00,85.16,5229,861,2.45,720,Enterprise DB,2814,256.34,Medium,FCFS,Static,2.17
JOB_54,2024-01-01 00:53:00,2024-01-01 00:53:00,81.59,2436,3674,3.01,812,Cloud,2459,247.19,High,ASB-Dynamic-CapsNet,Dynamic,0.28
JOB_55,2024-01-01 00:54:00,2024-01-01 00:54:00,57.83,6276,3885,9.14,957,Enterprise DB,3734,518.06,High,Round Robin,Dynamic,3.33
JOB_56,2024-01-01 00:55:00,2024-01-01 00:55:00,83.75,1462,2614,9.2,123,Social Media,3325,753.35,Medium,ASB-Dynamic-CapsNet,Dynamic,2.5
JOB_57,2024-01-01 00:56:00,2024-01-01 00:56:00,17.08,3505,784,3.63,496,Cloud,57,452.77,Medium,FCFS,Dynamic,1.38
JOB_58,2024-01-01 00:57:00,2024-01-01 00:57:00,25.68,4306,4333,7.2,798,IoT,2569,637.55,Medium,ASB-Dynamic-CapsNet,Dynamic,1.45
JOB_59,2024-01-01 00:58:00,2024-01-01 00:58:00,13.62,1382,677,6.92,250,Enterprise DB,2269,458.0,High,Round Robin,Static,2.26
JOB_60,2024-01-01 00:59:00,2024-01-01 00:59:00,36.03,4340,4905,8.16,165,Social Media,3924,614.28,Medium,ASB-Dynamic-CapsNet,Dynamic,4.14
JOB_61,2024-01-01 01:00:00,2024-01-01 01:00:00,41.09,7423,327,3.32,361,Social Media,3778,824.04,Medium,Round Robin,Static,2.12
JOB_62,2024-01-01 01:01:00,2024-01-01 01:01:00,31.71,1370,2428,5.35,53,IoT,3379,188.67,Low,ASB-Dynamic-CapsNet,Static,4.2
JOB_63,2024-01-01 01:02:00,2024-01-01 01:02:00,76.3,5111,2831,6.84,601,IoT,3421,698.42,Low,Round Robin,Dynamic,2.12
JOB_64,2024-01-01 01:03:00,2024-01-01 01:03:00,38.54,3485,927,0.75,321,Enterprise DB,663,789.55,Low,Round Robin,Static,4.15
JOB_65,2024-01-01 01:04:00,2024-01-01 01:04:00,32.47,6016,530,4.08,147,Social Media,738,452.64,Medium,Round Robin,Static,4.66
